,affected,rebuilding_factor,inventory_size,productive_capital_to_va_ratio,inventory_tau
Construction (45),0,0.55,90,0.5,60
Manufacture of electrical machinery and apparatus n.e.c. (31),1,0.1,90,1.5,60
Manufacture of furniture; manufacturing n.e.c. (36),1,0.06,90,3,60
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1,0.05,90,1.4,60
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1,0.05,90,0.5,60
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",1,0.05,90,0.6,60
"Manufacture of motor vehicles, trailers and semi-trailers (34)",1,0.04,90,3,60
Activities auxiliary to financial intermediation (67),1,0.03,Infinity,5.45,60
Manufacture of office machinery and computers (30),1,0.025,90,1.5,60
Manufacture of wearing apparel; dressing and dyeing of fur (18),1,0.015,90,1.4,60
Manufacture of machinery and equipment n.e.c. (29),1,0.01,90,1.5,60
Manufacture of other transport equipment (35),1,0.01,90,3,60
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",1,0.005,90,1.1,60
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1,0.002,90,1.5,60
Manufacture of ceramic goods,1,0.001,90,2,60
Cattle farming,1,0.0003,90,2.9,60
Pigs farming,1,0.0003,90,2.9,60
Poultry farming,1,0.0003,90,2.9,60
Cultivation of cereal grains nec,1,0.0001,90,2.9,60
Cultivation of crops nec,1,0.0001,90,2.9,60
Cultivation of oil seeds,1,0.0001,90,2.9,60
Cultivation of paddy rice,1,0.0001,90,2.9,60
Cultivation of plant-based fibers,1,0.0001,90,2.9,60
"Cultivation of sugar cane, sugar beet",1,0.0001,90,2.9,60
"Cultivation of vegetables, fruit, nuts",1,0.0001,90,2.9,60
Cultivation of wheat,1,0.0001,90,2.9,60
Public administration and defence; compulsory social security (75),1,0.0003,90,2,60
Air transport (62),0,0,90,3,60
Aluminium production,1,0,90,3,60
Animal products nec,1,0,90,2.9,60
"Biogasification of food waste, incl. land application",1,0,90,2,60
"Biogasification of paper, incl. land application",1,0,90,2,60
